0	882	West
1	894	East
2	904	East
3	915	East
4	926	East
5	936	East
6	946	North
7	957	South
8	968	South
9	978	South
10	989	East
11	1000	East
12	1010	East
13	1021	East
14	1031	North
15	1173	West
16	1184	South
17	1195	North
18	1205	West
19	1216	East
20	1227	South
21	1238	East
22	1254	West
23	1264	South
24	1275	West
25	1286	North
26	1301	West
27	1312	East
28	1323	East
29	1333	South
30	1344	East
31	1360	West
32	1371	West
33	1382	North
34	1398	North
35	1409	North
36	1420	East
37	1435	North
38	1446	South
39	1456	East
40	1472	North
41	1483	South
42	1494	East
43	1510	East
44	1521	East
45	1532	East
46	1543	East
47	1553	North
48	1568	West
49	1584	West
50	1595	North
51	1611	West
52	1622	West
53	1633	West
54	1643	West
55	1653	South
56	1664	South
57	1674	East
58	1690	South
59	1701	North
60	1711	West
61	1722	East
62	1733	East
63	1743	West
64	1753	West
65	1764	North
66	1775	North
67	1785	North
68	1796	East
69	1811	South
70	1827	South
71	1837	East
72	1853	East
73	1863	East
74	1873	East
75	1884	North
76	1900	South
77	1910	West
78	1921	West
79	1931	West
80	1942	West
81	1953	North
82	1964	South
83	2285	North
84	2296	North
85	2306	North
86	2317	North
87	2327	East
88	2338	West
89	2349	West
90	2360	West
91	2516	North
92	2527	South
93	2537	West
94	2548	West
95	2559	South
96	2574	South
97	2585	South
98	2595	South
99	2605	West
100	2616	East
101	2626	East
102	2636	East
103	2646	South
104	2657	North
105	2668	North
106	2678	East
107	2689	North
108	2705	North
109	2715	East
110	2726	West
111	2736	West
112	2747	North
113	2758	North
114	2769	West
115	2785	North
116	2796	South
117	2806	West
118	2821	West
119	2831	South
120	2846	East
121	2862	East
122	2872	North
123	2883	North
124	2893	East
125	3202	South
126	3213	North
127	3223	West
128	3378	South
129	3389	North
130	3400	West
131	3411	West
132	3421	North
133	3437	North
134	3447	East
135	3463	North
136	3474	South
137	3485	West
138	3496	South
139	3507	East
140	3523	East
141	3534	East
142	3544	South
143	3559	West
144	3575	West
145	3585	North
146	3600	North
147	3610	East
148	3626	South
149	3642	South
150	3653	East
151	3669	East
152	3679	South
153	3695	South
154	3705	West
155	3716	West
156	3727	West
157	3737	East
158	4046	East
159	4057	South
160	4068	North
161	4079	North
162	4090	North
163	4100	North
164	4110	North
165	4121	North
166	4131	North
167	4142	North
168	4153	East
169	4358	West
170	4369	South
171	4380	North
172	4391	North
173	4402	West
174	4413	North
175	4428	North
176	4439	West
177	4450	East
178	4460	North
179	4471	East
180	4487	East
181	4498	East
182	4509	South
183	4525	East
184	4536	North
185	4547	South
186	4557	West
187	4572	North
188	4583	East
189	4594	South
190	4609	South
191	4620	South
192	4631	East
193	4642	West
194	4652	South
195	4663	West
196	4679	West
197	4690	West
198	4700	North
199	4716	East
200	4732	East
201	4742	North
202	4758	East
203	5129	West
204	5140	West
205	5150	South
206	5161	North
207	5172	North
208	5183	North
209	5194	North
210	5205	North
211	5215	West
212	5226	East
213	5450	West
214	5460	North
215	5471	South
216	5481	East
217	5492	West
218	5503	South
219	5514	West
220	5529	West
221	5540	South
222	5551	North
223	5561	West
224	5572	North
225	5588	East
226	5604	North
227	5615	South
228	5625	West
229	5636	East
230	5647	East
231	5657	South
232	5668	North
233	5678	East
234	5689	East
235	5699	North
236	5710	North
237	5720	North
238	5730	West
239	5746	South
240	5762	South
241	5773	South
242	5784	East
243	5795	West
244	5806	South
245	5817	South
246	5828	West
247	5843	West
248	5853	North
249	5869	East
250	5885	East
251	5895	South
252	5906	North
253	5916	East
254	5931	East
255	5942	South
256	5953	North
257	5964	East
258	5975	North
259	5990	South
260	6000	West
261	6351	East
262	6362	North
263	6373	North
264	6383	East
265	6611	North
266	6622	West
267	6633	East
268	6644	South
269	6660	West
270	6671	East
271	6682	East
272	6692	North
273	6703	East
274	6718	East
275	6728	East
276	6739	North
277	6750	South
278	6761	East
279	6772	South
280	6787	South
281	6797	West
282	6812	North
283	6828	North
284	6839	North
285	6849	East
286	6860	West
287	6870	West
288	6881	West
289	6891	North
290	6902	West
291	6917	West
292	6928	West
293	6938	South
294	6951	West
295	6962	North
296	6973	East
297	6984	South
298	7000	East
299	7379	East
300	7390	East
301	7400	North
302	7411	South
303	7422	South
304	7432	South
305	7442	South
306	7453	South
307	7464	West
308	7475	East
309	7485	East
310	7704	East
311	7715	North
312	7731	West
313	7742	West
314	7752	West
315	7763	North
316	7778	East
317	7794	East
318	7805	East
319	7815	North
320	7831	North
321	7841	North
322	7852	East
323	7867	West
324	7877	North
325	7888	West
326	7903	West
327	7913	North
328	7924	South
329	7935	South
330	7946	West
331	7957	South
332	7973	East
333	7989	East
334	8000	North
335	8011	West
336	8385	West
337	8396	West
338	8406	West
339	8416	West
340	8426	North
341	8437	South
342	8448	South
343	8459	South
344	8469	West
345	8651	West
346	8662	West
347	8672	South
348	8688	West
349	8699	East
350	8709	East
351	8720	North
352	8731	East
353	8742	South
354	8762	East
355	8773	West
356	8784	West
357	8795	North
358	8806	South
359	8817	South
360	8827	West
361	8838	South
362	8853	South
363	8864	West
364	8875	East
365	8886	South
366	8897	East
367	8912	North
368	8928	East
369	8939	West
370	8949	South
371	8960	North
372	8971	North
373	8981	East
374	8992	East
375	9002	North
376	9013	North
377	9024	West
378	9035	East
379	9045	North
380	9056	North
381	9066	East
382	9077	East
383	9088	East
384	9099	South
385	9114	East
386	9125	West
387	9135	North
388	9146	South
389	9156	East
390	9167	South
391	9183	East
392	9194	West
393	9204	North
394	9215	South
395	9235	West
396	9585	West
397	9596	West
398	9607	West
399	9617	West
400	9627	West
401	9637	West
402	9648	West
403	9659	South
404	9670	North
405	9875	North
406	9886	North
407	9896	North
408	9906	West
409	9917	East
410	9928	South
411	9939	North
412	9950	West
413	9961	East
414	9971	East
415	9982	North
